first_name,last_name,company_domain,title,source_of_truth
Adrian,Rosenkranz,webflow.com,CRO,LinkedIn (Verified)
Alex,Sukennik,semrushinc.com,Chief Information Officer,LinkedIn (Verified)
Aleya,Chattopadhyay,growpowered.com,iCMO - Fractional Growth & Marketing Leadership for B2B Tech,LinkedIn (Verified)
Alyson,Baber,alysonbabercoaching.com,Founder,LinkedIn (Verified)
Amy,Sezak,yelp.com,Senior Vice President,LinkedIn (Verified)
Amy,Volas,avenuetalentpartners.com,Founder & CEO,LinkedIn (Verified)
Ari,Osur,sansinstitute.com,CMO,LinkedIn (Verified)
Ashok,Rajan,pristinedataai.com,CEO and Founder,LinkedIn (Verified)
Ben,O'Rourke,lytica.com,CRO,LinkedIn (Verified)
Benjamin,Laibson,communityofsmalls.com,Co-Founder,LinkedIn (Verified)
Bill,Hobbib,demandscience.com,CMO,LinkedIn (Verified)
Bob,Lyle,medcrypt.com,CRO,LinkedIn (Verified)
Brandon,Cohan,edia.com,Senior Vice President,LinkedIn (Verified)
Brent,Holloway,mastiffsoftware.com,Founder,LinkedIn (Verified)
Brett,Chereskin,dub.com,COO,LinkedIn (Verified)
Brian,Levin,realitydefender.com,CRO,LinkedIn (Verified)
Bryan,Mueller,monarch.com,Founder,LinkedIn (Verified)
Charleen,Kao,thejoinagency.com,Founder & CEO,LinkedIn (Verified)
Chris,O’Brien,chrobinson.com,Chief Commercial Officer,LinkedIn (Verified)
Christopher,Marentis,surefirelocal.com,Founder,LinkedIn (Verified)
Cliff,Unger,cct.com,CRO,LinkedIn (Verified)
Costa,Harbilas,intapp.com,CRO,LinkedIn (Verified)
Dan,Kimball,spectrumequity.com,CMO,LinkedIn (Verified)
Danny,Schonfeld,edmentum.com,Senior Vice President,LinkedIn (Verified)
Dennis,Gushue,threeflow.com,Senior Vice President of Sales,LinkedIn (Verified)
Dexter,Bachelder,propelpeople.com,CEO,LinkedIn (Verified)
Dileepa,Wijayanayake,flowwrightinc.com,CTO,LinkedIn (Verified)
Doug,Grigg,showpad.com,President,LinkedIn (Verified)
Edward,Unthank,etumos.com,Founder and CEO,LinkedIn (Verified)
Eric,Din,medallia.com,Senior Vice President,LinkedIn (Verified)
Eve,Alexander,seismic.com,Senior Vice President,LinkedIn (Verified)
Gary,Lombardo,alpenglowmarketing.com,CMO,LinkedIn (Verified)
Genefa,Murphy,udemy.com,Chief Marketing Officer,LinkedIn (Verified)
Grant,Ho,ironscales.com,CMO,LinkedIn (Verified)
Harold,Engstrom,innovativeprocesssolutions.com,President,LinkedIn (Verified)
Jack,Foster,thetalake.com,Senior Vice President of Global Marketing,LinkedIn (Verified)
Jake,Newfield,hermetiq.com,Co-Founder & CEO,LinkedIn (Verified)
James,Kaikis,gtmshift.com,Founder,LinkedIn (Verified)
James,Lemonias,nasuni.com,Senior Vice President,LinkedIn (Verified)
James,Melcer,prezent.com,Senior Vice President of Global Sales,LinkedIn (Verified)
Javier,Estrada,vimeo.com,CRO,LinkedIn (Verified)
Jay,Webb,thegoatsofgrowth.com,Founder,LinkedIn (Verified)
Jayashree,Rajan,nexla.com,CMO,LinkedIn (Verified)
Jeff,Schwartz,solvr.com,President,LinkedIn (Verified)
Jenny,Moebius,skedda.com,SVP,LinkedIn (Verified)
Jill,Guardia,thoughtindustries.com,Senior Vice President,LinkedIn (Verified)
Joe,Sawyer,flashpoint.com,Chief Marketing Officer,LinkedIn (Verified)
John,Sherer,differenthealth.com,Co-Founder,LinkedIn (Verified)
John,Thackston,soarperformancegroup.com,CEO,LinkedIn (Verified)
Jon,Rydberg,alignadvisorygroup.com,Founder and Principal,LinkedIn (Verified)
Joshua,Ziel,graylog.com,Chief Sales Officer,LinkedIn (Verified)
Kathie,Johnson,accelgrowthpartners.com,Founder and CMO,LinkedIn (Verified)
Keshila,Shannon,abode.com,Senior Vice President of Global Marketing,LinkedIn (Verified)
Larry,Simmons,snowplow.com,Senior Vice President Technical Services,LinkedIn (Verified)
Luke,Abbott,medallia.com,Senior Vice President Sales Americas,LinkedIn (Verified)
Manik,Dhar,maymobility.com,Chief Commercial Officer,LinkedIn (Verified)
Marilee,Bear,gainsight.com,Chief Revenue Officer,LinkedIn (Verified)
Mark,Mikitka,sap.com,Chief Revenue Officer,LinkedIn (Verified)
Maryna,Hradovich,maestra.com,Co-Founder and Chief Operating Officer,LinkedIn (Verified)
Matt,Bennetti,vladio.com,CMO,LinkedIn (Verified)
Mauricio,Suarez,saasmurai.com,Founder & CEO,LinkedIn (Verified)
Michael,Mooney,bitsight.com,Senior Vice President,LinkedIn (Verified)
Mike,Connolly,payforwardcoaching.com,Founder and CEO,LinkedIn (Verified)
